"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"TOITURES DERVOISES","https://www.qualibat.com/resultat-de-la-recherche/toitures-dervoises-107613","28 HAMEAU LE VOY, 52220 DROYES","0325049161","toitures.dervoises@orange.fr","4920848190","49208481900019","10",713594,52,"86"
"VERDOT VINCENT","https://www.qualibat.com/resultat-de-la-recherche/verdot-vincent-124797","92 RUE DE LA TUILERIE, 52200 LANGRES","0325909146","vincent.verdot@wanadoo.fr","4527410850","45274108500024","1",130000,52,"86"
"DHYEVRE BENOIT EURL","https://www.qualibat.com/resultat-de-la-recherche/dhyevre-benoit-eurl-103488","30 BIS RUE AUDIFFRED MONTIER EN DER, 52220 LA PORTE DU DER","0325042154","benoit.dhyevre@wanadoo.fr","4425178270","44251782700014","7",526016,52,"86"
"CHAUFFAGE DER ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/chauffage-der-energies-141415","10 RUE MAQUIS MAUGUET, 52100 BETTANCOURT LA FERREE","0325562579","chauffagederenergiescde@orange.fr","5151032990","51510329900027","4",326882,52,"86"
"MPR","https://www.qualibat.com/resultat-de-la-recherche/mpr-101362","8 GRANDE RUE, 52100 VILLIERS EN LIEU","0325563562","laplace.dom@wanadoo.fr","4008977240","40089772400011","1",115709,52,"86"
"TOURNERET DIMITRI","https://www.qualibat.com/resultat-de-la-recherche/tourneret-dimitri-190915","1 RUE DU CLOS BERNARD ECLARON, 52290 ECLARON BRAUCOURT STE LIVI","0640072226","blaise.elec52@outlook.fr","5301401280","53014012800022","1",28646,52,"86"
"DAVINROY MARTIAL","https://www.qualibat.com/resultat-de-la-recherche/davinroy-martial-126207","RUE PRINCIPALE, 52230 GERMAY","0325945822","davinroy.martial@laposte.net","3449610990","34496109900027","2",273889,52,"86"
"S.D. MENUISERIES","https://www.qualibat.com/resultat-de-la-recherche/s-d-menuiseries-74966","31 RUE DE LA FONTAINE, 52200 ST GEOSMES","0670038723","sdmenuiseries@orange.fr","4983232110","49832321100033","1",389850,52,"86"
"MENUISERIE FRISON SARL","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-frison-sarl-110551","40 GRANDE RUE, 52500 GILLEY","0325887803","menuiseriefrison@gmail.com","4838733940","48387339400025","3",594930,52,"86"
"SAS BUGUET FILS","https://www.qualibat.com/resultat-de-la-recherche/sas-buguet-fils-112883","3 RUE DE L INDUSTRIE, 52300 JOINVILLE","0325960165","direction@buguet.fr","3939312330","39393123300034","20",2000000,52,"86"
